GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,edu.brown.cs.student.main,Main,96,0,8,0,23,0,7,0,3,0
s0,edu.brown.cs.student.csv,csvParser,33,0,2,0,8,0,3,0,2,0
s0,edu.brown.cs.student.csv,RowObject,21,0,0,0,8,0,1,0,1,0
s0,edu.brown.cs.student.csv,FileAdder,98,0,4,0,23,0,3,0,1,0
s0,edu.brown.cs.student.csv,csvParserTest,6,0,0,0,3,0,2,0,2,0
s0,edu.brown.cs.student.csv,FactoryFailureException,6,0,0,0,3,0,1,0,1,0
s0,edu.brown.cs.student.csv,creator,57,0,4,0,10,0,4,0,2,0
s0,edu.brown.cs.student.kdtree,AxisSorter,0,22,0,0,0,6,0,2,0,2
s0,edu.brown.cs.student.kdtree,DistanceSorter,6,20,0,0,3,6,0,2,0,2
s0,edu.brown.cs.student.kdtree,KdTree,30,440,12,56,4,94,11,32,0,9
s0,edu.brown.cs.student.kdtree,Point,4,94,3,7,2,20,3,8,0,6
s0,edu.brown.cs.student.stars,GalaxyGenerator,29,0,2,0,5,0,3,0,2,0
s0,edu.brown.cs.student.stars,Star,101,0,2,0,9,0,11,0,10,0
s0,edu.brown.cs.student.stars,StarFactory,56,0,2,0,11,0,3,0,2,0
